timestamp,substrate_temp_c
2026-05-25 22:48:26.115,22.6875
2026-05-25 22:48:32.019,22.6875
2026-05-25 22:48:37.923,22.6875
2026-05-25 22:48:43.827,22.6875
2026-05-25 22:48:49.730,22.6875
2026-05-25 22:48:55.635,22.75
2026-05-25 22:49:01.539,22.75
2026-05-25 22:49:07.442,22.6875
2026-05-25 22:49:13.346,22.75
2026-05-25 22:49:19.252,22.75
2026-05-25 22:49:25.159,22.75
2026-05-25 22:49:31.063,22.6875
2026-05-25 22:49:36.966,22.6875
2026-05-25 22:49:42.874,22.6875
2026-05-25 22:49:48.781,22.75
2026-05-25 22:49:54.687,22.75
2026-05-25 22:50:00.593,22.75
2026-05-25 22:50:06.496,22.75
2026-05-25 22:50:12.400,22.75
2026-05-25 22:50:18.307,22.6875
2026-05-25 22:50:24.210,22.75
2026-05-25 22:50:30.114,22.6875
2026-05-25 22:50:36.018,22.6875
2026-05-25 22:50:41.921,22.6875
2026-05-25 22:50:47.826,22.6875
2026-05-25 22:50:53.732,22.6875
2026-05-25 22:50:59.638,22.75
2026-05-25 22:51:05.541,22.6875
2026-05-25 22:51:11.445,22.6875
2026-05-25 22:51:17.352,22.6875
2026-05-25 22:51:23.258,22.6875
2026-05-25 22:51:29.164,22.6875
2026-05-25 22:51:35.068,22.6875
2026-05-25 22:51:40.971,22.6875
2026-05-25 22:51:46.876,22.6875
2026-05-25 22:51:52.780,22.6875
2026-05-25 22:51:58.683,22.6875
2026-05-25 22:52:04.589,22.6875
2026-05-25 22:52:10.495,22.6875
2026-05-25 22:52:16.402,22.6875
2026-05-25 22:52:22.310,22.6875
2026-05-25 22:52:28.213,22.75
2026-05-25 22:52:34.119,22.6875
2026-05-25 22:52:40.028,22.6875
2026-05-25 22:52:45.931,22.6875
2026-05-25 22:52:51.835,22.75
2026-05-25 22:52:57.738,22.6875
2026-05-25 22:53:03.644,22.6875
2026-05-25 22:53:09.551,22.6875
2026-05-25 22:53:15.455,22.6875
2026-05-25 22:53:21.361,22.6875
2026-05-25 22:53:27.267,22.75
2026-05-25 22:53:33.171,22.75
2026-05-25 22:53:39.076,22.6875
2026-05-25 22:53:44.979,22.6875
2026-05-25 22:53:50.883,22.75
2026-05-25 22:53:56.787,22.6875
2026-05-25 22:54:02.693,22.75
2026-05-25 22:54:08.600,22.75
2026-05-25 22:54:14.505,22.75
2026-05-25 22:54:20.411,22.6875
2026-05-25 22:54:26.316,22.6875
2026-05-25 22:54:32.220,22.6875
2026-05-25 22:54:38.125,22.6875
2026-05-25 22:54:44.029,22.6875
2026-05-25 22:54:49.935,22.6875
2026-05-25 22:54:55.840,22.6875
2026-05-25 22:55:01.746,22.6875
2026-05-25 22:55:07.653,22.75
2026-05-25 22:55:13.557,22.75
2026-05-25 22:55:19.461,22.75
2026-05-25 22:55:25.364,22.75
2026-05-25 22:55:31.269,22.6875
2026-05-25 22:55:37.175,22.75
2026-05-25 22:55:43.078,22.6875
2026-05-25 22:55:48.985,22.6875
2026-05-25 22:55:54.890,22.6875
2026-05-25 22:56:00.797,22.75
2026-05-25 22:56:06.703,22.75
2026-05-25 22:56:12.607,22.6875
2026-05-25 22:56:18.510,22.6875
2026-05-25 22:56:24.414,22.75
2026-05-25 22:56:30.319,22.75
2026-05-25 22:56:36.222,22.75
2026-05-25 22:56:42.128,22.6875
2026-05-25 22:56:48.034,22.75
2026-05-25 22:56:53.938,22.75
2026-05-25 22:56:59.845,22.6875
2026-05-25 22:57:05.751,22.75
2026-05-25 22:57:11.654,22.75
2026-05-25 22:57:17.558,22.75
2026-05-25 22:57:23.462,22.6875
2026-05-25 22:57:29.366,22.75
2026-05-25 22:57:35.272,22.6875
2026-05-25 22:57:41.178,22.75
2026-05-25 22:57:47.084,22.75
2026-05-25 22:57:52.990,22.75
2026-05-25 22:57:58.894,22.6875
2026-05-25 22:58:04.798,22.75
2026-05-25 22:58:10.702,22.75
2026-05-25 22:58:16.607,22.75
2026-05-25 22:58:22.512,22.75
2026-05-25 22:58:28.415,22.6875
2026-05-25 22:58:34.319,22.6875
2026-05-25 22:58:40.223,22.6875
2026-05-25 22:58:46.128,22.6875
2026-05-25 22:58:52.035,22.6875
2026-05-25 22:58:57.941,22.6875
2026-05-25 22:59:03.847,22.6875
2026-05-25 22:59:09.753,22.6875
2026-05-25 22:59:15.658,22.75
2026-05-25 22:59:21.563,22.75
2026-05-25 22:59:27.467,22.75
2026-05-25 22:59:33.373,22.75
2026-05-25 22:59:39.279,22.6875
2026-05-25 22:59:45.184,22.6875
2026-05-25 22:59:51.091,22.75
2026-05-25 22:59:56.997,22.75
2026-05-25 23:00:02.900,22.75
2026-05-25 23:00:08.806,22.6875
2026-05-25 23:00:14.712,22.6875
2026-05-25 23:00:20.618,22.6875
2026-05-25 23:00:26.524,22.6875
2026-05-25 23:00:32.430,22.6875
2026-05-25 23:00:38.333,22.75
2026-05-25 23:00:44.237,22.75
2026-05-25 23:00:50.141,22.6875
2026-05-25 23:00:56.047,22.6875
2026-05-25 23:01:01.953,22.6875
2026-05-25 23:01:07.859,22.75
2026-05-25 23:01:13.766,22.6875
2026-05-25 23:01:19.669,22.75
2026-05-25 23:01:25.573,22.75
2026-05-25 23:01:31.477,22.6875
2026-05-25 23:01:37.382,22.75
2026-05-25 23:01:43.289,22.75
2026-05-25 23:01:49.195,22.6875
2026-05-25 23:01:55.099,22.6875
2026-05-25 23:02:01.005,22.6875
2026-05-25 23:02:06.910,22.75
2026-05-25 23:02:12.817,22.75
2026-05-25 23:02:18.721,22.75
2026-05-25 23:02:24.627,22.75
2026-05-25 23:02:30.533,22.75
2026-05-25 23:02:36.436,22.75
2026-05-25 23:02:42.341,22.75
2026-05-25 23:02:48.245,22.75
2026-05-25 23:02:54.148,22.75
2026-05-25 23:03:00.054,22.75
2026-05-25 23:03:05.960,22.6875
2026-05-25 23:03:11.865,22.6875
2026-05-25 23:03:17.771,22.75
2026-05-25 23:03:23.677,22.6875
2026-05-25 23:03:29.582,22.6875
2026-05-25 23:03:35.486,22.6875
2026-05-25 23:03:41.390,22.75
2026-05-25 23:03:47.296,22.75
2026-05-25 23:03:53.202,22.6875
2026-05-25 23:03:59.108,22.6875
2026-05-25 23:04:05.011,22.75
2026-05-25 23:04:10.916,22.75
2026-05-25 23:04:16.820,22.6875
2026-05-25 23:04:22.723,22.75
2026-05-25 23:04:28.627,22.75
2026-05-25 23:04:34.534,22.75
2026-05-25 23:04:40.440,22.75
2026-05-25 23:04:46.345,22.75
2026-05-25 23:04:52.251,22.75
2026-05-25 23:04:58.157,22.6875
2026-05-25 23:05:04.062,22.6875
2026-05-25 23:05:09.965,22.75
2026-05-25 23:05:15.869,22.75
2026-05-25 23:05:21.775,22.75
2026-05-25 23:05:27.681,22.75
2026-05-25 23:05:33.588,22.75
2026-05-25 23:05:39.494,22.6875
2026-05-25 23:05:45.399,22.75
2026-05-25 23:05:51.303,22.75
2026-05-25 23:05:57.207,22.75
2026-05-25 23:06:03.114,22.75
2026-05-25 23:06:09.020,22.75
2026-05-25 23:06:14.925,22.75
2026-05-25 23:06:20.831,22.75
2026-05-25 23:06:26.734,22.6875
2026-05-25 23:06:32.639,22.6875
2026-05-25 23:06:38.543,22.75
2026-05-25 23:06:44.446,22.75
2026-05-25 23:06:50.352,22.75
2026-05-25 23:06:56.257,22.75
2026-05-25 23:07:02.164,22.75
2026-05-25 23:07:08.068,22.6875
2026-05-25 23:07:13.974,22.6875
2026-05-25 23:07:19.878,22.6875
2026-05-25 23:07:25.782,22.75
2026-05-25 23:07:31.686,22.75
2026-05-25 23:07:37.592,22.6875
2026-05-25 23:07:43.495,22.6875
2026-05-25 23:07:49.399,22.75
2026-05-25 23:07:55.304,22.75
2026-05-25 23:08:01.207,22.6875
2026-05-25 23:08:07.111,22.6875
2026-05-25 23:08:13.015,22.6875
2026-05-25 23:08:18.921,22.75
2026-05-25 23:08:24.828,22.75
2026-05-25 23:08:30.733,22.6875
2026-05-25 23:08:36.639,22.6875
2026-05-25 23:08:42.545,22.75
2026-05-25 23:08:48.448,22.75
2026-05-25 23:08:54.353,22.75
2026-05-25 23:09:00.256,22.75
2026-05-25 23:09:06.160,22.6875
2026-05-25 23:09:12.063,22.6875
2026-05-25 23:09:17.967,22.75
2026-05-25 23:09:23.872,22.75
2026-05-25 23:09:29.778,22.75
2026-05-25 23:09:35.686,22.75
2026-05-25 23:09:41.591,22.75
2026-05-25 23:09:47.497,22.75
2026-05-25 23:09:53.403,22.75
2026-05-25 23:09:59.307,22.75
2026-05-25 23:10:05.212,22.75
2026-05-25 23:10:11.118,22.6875
2026-05-25 23:10:17.023,22.75
2026-05-25 23:10:22.926,22.75
2026-05-25 23:10:28.830,22.75
2026-05-25 23:10:34.735,22.75
2026-05-25 23:10:40.641,22.8125
2026-05-25 23:10:46.548,22.6875
2026-05-25 23:10:52.454,22.75
2026-05-25 23:10:58.357,22.75
2026-05-25 23:11:04.261,22.75
2026-05-25 23:11:10.165,22.6875
2026-05-25 23:11:16.069,22.75
2026-05-25 23:11:21.975,22.75
2026-05-25 23:11:27.881,22.75
2026-05-25 23:11:33.787,22.75
2026-05-25 23:11:39.693,22.75
2026-05-25 23:11:45.598,22.75
2026-05-25 23:11:51.503,22.75
2026-05-25 23:11:57.409,22.75
2026-05-25 23:12:03.313,22.75
2026-05-25 23:12:09.221,22.75
2026-05-25 23:12:15.125,22.75
2026-05-25 23:12:21.029,22.75
2026-05-25 23:12:26.932,22.75
2026-05-25 23:12:32.838,22.75
2026-05-25 23:12:38.744,22.75
2026-05-25 23:12:44.651,22.75
2026-05-25 23:12:50.556,22.75
2026-05-25 23:12:56.462,22.75
2026-05-25 23:13:02.366,22.75
2026-05-25 23:13:08.271,22.75
2026-05-25 23:13:14.177,22.75
2026-05-25 23:13:20.083,22.75
2026-05-25 23:13:25.988,22.6875
2026-05-25 23:13:31.892,22.75
2026-05-25 23:13:37.796,22.75
2026-05-25 23:13:43.700,22.6875
2026-05-25 23:13:49.604,22.75
2026-05-25 23:13:55.507,22.75
2026-05-25 23:14:01.413,22.75
2026-05-25 23:14:07.317,22.6875
2026-05-25 23:14:13.221,22.6875
2026-05-25 23:14:19.125,22.6875
2026-05-25 23:14:25.028,22.75
2026-05-25 23:14:30.934,22.75
2026-05-25 23:14:36.838,22.75
2026-05-25 23:14:42.742,22.75
2026-05-25 23:14:48.646,22.6875
2026-05-25 23:14:54.549,22.6875
2026-05-25 23:15:00.453,22.6875
2026-05-25 23:15:06.358,22.75
2026-05-25 23:15:12.261,22.75
2026-05-25 23:15:18.165,22.75
2026-05-25 23:15:24.069,22.6875
2026-05-25 23:15:29.975,22.6875
2026-05-25 23:15:35.881,22.6875
2026-05-25 23:15:41.785,22.75
2026-05-25 23:15:47.688,22.75
2026-05-25 23:15:53.594,22.75
2026-05-25 23:15:59.501,22.75
2026-05-25 23:16:05.405,22.6875
2026-05-25 23:16:11.308,22.75
2026-05-25 23:16:17.214,22.75
2026-05-25 23:16:23.120,22.75
2026-05-25 23:16:29.025,22.6875
2026-05-25 23:16:34.928,22.75
2026-05-25 23:16:40.832,22.75
2026-05-25 23:16:46.737,22.75
2026-05-25 23:16:52.641,22.6875
2026-05-25 23:16:58.546,22.75
2026-05-25 23:17:04.449,22.75
2026-05-25 23:17:10.353,22.75
2026-05-25 23:17:16.259,22.75
2026-05-25 23:17:22.165,22.6875
2026-05-25 23:17:28.069,22.6875
2026-05-25 23:17:33.973,22.6875
2026-05-25 23:17:39.877,22.6875
2026-05-25 23:17:45.780,22.6875
2026-05-25 23:17:51.684,22.6875
2026-05-25 23:17:57.588,22.75
2026-05-25 23:18:03.494,22.75
2026-05-25 23:18:09.397,22.75
2026-05-25 23:18:15.301,22.6875
2026-05-25 23:18:21.205,22.75
