timestamp,soil_vwc_percent
2026-05-24 22:37:51.050,73.75
2026-05-24 22:37:56.051,73.91
2026-05-24 22:38:01.051,73.91
2026-05-24 22:38:06.052,73.91
2026-05-24 22:38:11.053,73.75
2026-05-24 22:38:16.053,74.0
2026-05-24 22:38:21.055,73.75
2026-05-24 22:38:26.055,73.84
2026-05-24 22:38:31.056,73.84
2026-05-24 22:38:36.057,73.75
2026-05-24 22:38:41.057,73.91
2026-05-24 22:38:46.058,73.75
2026-05-24 22:38:51.059,73.91
2026-05-24 22:38:56.060,74.0
2026-05-24 22:39:01.061,73.91
2026-05-24 22:39:06.061,73.75
2026-05-24 22:39:11.062,73.75
2026-05-24 22:39:16.062,73.84
2026-05-24 22:39:21.064,73.91
2026-05-24 22:39:26.065,73.91
2026-05-24 22:39:31.065,73.91
2026-05-24 22:39:36.066,73.84
2026-05-24 22:39:41.066,73.91
2026-05-24 22:39:46.068,73.84
2026-05-24 22:39:51.069,73.91
2026-05-24 22:39:56.069,73.84
2026-05-24 22:40:01.070,73.75
2026-05-24 22:40:06.070,74.0
2026-05-24 22:40:11.071,73.91
2026-05-24 22:40:16.073,73.84
2026-05-24 22:40:21.073,74.0
2026-05-24 22:40:26.074,73.75
2026-05-24 22:40:31.074,73.91
2026-05-24 22:40:36.075,73.84
2026-05-24 22:40:41.076,73.84
2026-05-24 22:40:46.077,74.0
2026-05-24 22:40:51.091,73.75
2026-05-24 22:40:56.091,73.91
2026-05-24 22:41:01.092,73.91
2026-05-24 22:41:06.093,73.91
2026-05-24 22:41:11.094,73.91
2026-05-24 22:41:16.095,73.75
2026-05-24 22:41:21.095,73.75
2026-05-24 22:41:26.096,74.0
2026-05-24 22:41:31.097,73.75
2026-05-24 22:41:36.097,73.75
2026-05-24 22:41:41.099,73.91
2026-05-24 22:41:46.099,73.91
2026-05-24 22:41:51.100,73.84
2026-05-24 22:41:56.108,74.0
2026-05-24 22:42:01.109,73.84
2026-05-24 22:42:06.109,73.91
2026-05-24 22:42:11.111,73.91
2026-05-24 22:42:16.111,73.91
2026-05-24 22:42:21.112,73.91
2026-05-24 22:42:26.113,73.75
2026-05-24 22:42:31.113,73.84
2026-05-24 22:42:36.114,73.91
2026-05-24 22:42:41.115,73.75
2026-05-24 22:42:46.116,74.0
2026-05-24 22:42:51.117,73.91
2026-05-24 22:42:56.117,73.91
2026-05-24 22:43:01.118,73.75
2026-05-24 22:43:06.119,73.84
2026-05-24 22:43:11.120,73.84
2026-05-24 22:43:16.121,73.91
2026-05-24 22:43:21.121,74.0
2026-05-24 22:43:26.122,73.91
2026-05-24 22:43:31.122,73.84
2026-05-24 22:43:36.124,73.84
2026-05-24 22:43:41.125,73.75
2026-05-24 22:43:46.125,73.84
2026-05-24 22:43:51.126,73.75
2026-05-24 22:43:56.126,73.91
2026-05-24 22:44:01.127,73.91
2026-05-24 22:44:06.129,73.91
2026-05-24 22:44:11.129,73.75
2026-05-24 22:44:16.130,73.84
2026-05-24 22:44:21.130,73.91
2026-05-24 22:44:26.131,73.91
2026-05-24 22:44:31.133,73.91
2026-05-24 22:44:36.133,73.84
2026-05-24 22:44:41.134,74.0
2026-05-24 22:44:46.134,73.75
2026-05-24 22:44:51.135,73.91
2026-05-24 22:44:56.136,73.91
2026-05-24 22:45:01.137,74.0
2026-05-24 22:45:06.138,73.91
2026-05-24 22:45:11.138,73.91
2026-05-24 22:45:16.139,73.91
2026-05-24 22:45:21.140,73.91
2026-05-24 22:45:26.140,73.84
2026-05-24 22:45:31.142,73.84
2026-05-24 22:45:36.142,73.84
2026-05-24 22:45:41.143,73.91
2026-05-24 22:45:46.144,73.75
2026-05-24 22:45:51.144,73.91
2026-05-24 22:45:56.145,73.91
2026-05-24 22:46:01.146,74.0
2026-05-24 22:46:06.147,73.91
2026-05-24 22:46:11.148,73.91
2026-05-24 22:46:16.148,73.91
2026-05-24 22:46:21.149,73.75
2026-05-24 22:46:26.150,73.84
2026-05-24 22:46:31.151,73.75
2026-05-24 22:46:36.152,74.0
2026-05-24 22:46:41.152,73.84
2026-05-24 22:46:46.153,73.84
2026-05-24 22:46:51.153,73.84
2026-05-24 22:46:56.155,73.91
2026-05-24 22:47:01.155,74.0
2026-05-24 22:47:06.156,73.75
2026-05-24 22:47:11.157,73.75
2026-05-24 22:47:16.157,73.75
2026-05-24 22:47:21.158,73.91
2026-05-24 22:47:26.159,73.75
2026-05-24 22:47:31.160,74.0
2026-05-24 22:47:36.161,73.84
2026-05-24 22:47:41.161,73.91
2026-05-24 22:47:46.162,73.75
2026-05-24 22:47:51.163,73.84
2026-05-24 22:47:56.164,73.75
2026-05-24 22:48:01.165,73.91
2026-05-24 22:48:06.165,73.84
2026-05-24 22:48:11.166,73.91
2026-05-24 22:48:16.166,74.55
2026-05-24 22:48:21.168,73.84
2026-05-24 22:48:26.169,73.84
2026-05-24 22:48:31.169,73.91
2026-05-24 22:48:36.170,73.75
2026-05-24 22:48:41.170,73.75
2026-05-24 22:48:46.171,73.75
2026-05-24 22:48:51.173,73.75
2026-05-24 22:48:56.173,73.75
2026-05-24 22:49:01.183,73.91
2026-05-24 22:49:06.184,73.75
2026-05-24 22:49:11.185,73.84
2026-05-24 22:49:16.185,73.84
2026-05-24 22:49:21.187,73.91
2026-05-24 22:49:26.187,73.84
2026-05-24 22:49:31.188,73.91
2026-05-24 22:49:36.189,73.75
2026-05-24 22:49:41.189,73.91
2026-05-24 22:49:46.191,73.91
2026-05-24 22:49:51.191,73.84
2026-05-24 22:49:56.192,73.84
2026-05-24 22:50:01.193,73.84
2026-05-24 22:50:06.197,73.91
2026-05-24 22:50:11.198,73.84
2026-05-24 22:50:16.199,73.84
2026-05-24 22:50:21.200,73.84
2026-05-24 22:50:26.200,73.75
2026-05-24 22:50:31.201,73.84
2026-05-24 22:50:36.202,73.75
2026-05-24 22:50:41.202,73.75
2026-05-24 22:50:46.204,73.75
2026-05-24 22:50:51.204,73.75
2026-05-24 22:50:56.205,73.75
2026-05-24 22:51:01.206,73.91
2026-05-24 22:51:06.206,73.91
2026-05-24 22:51:11.208,73.91
2026-05-24 22:51:16.212,73.75
2026-05-24 22:51:21.212,73.84
2026-05-24 22:51:26.213,73.84
2026-05-24 22:51:31.213,74.0
2026-05-24 22:51:36.214,74.0
2026-05-24 22:51:41.216,73.84
2026-05-24 22:51:46.216,73.91
2026-05-24 22:51:51.217,73.84
2026-05-24 22:51:56.217,74.0
2026-05-24 22:52:01.218,73.75
