time,ens_eco2_ppm
2026-05-25T22:12:27.9750000,439
2026-05-25T22:12:29.0160000,448
2026-05-25T22:12:30.0670000,441
2026-05-25T22:12:31.1080000,441
2026-05-25T22:12:32.1480000,448
2026-05-25T22:12:33.1890000,452
2026-05-25T22:12:34.2300000,439
2026-05-25T22:12:35.2810000,452
2026-05-25T22:12:36.3220000,445
2026-05-25T22:12:37.3630000,434
2026-05-25T22:12:38.4030000,447
2026-05-25T22:12:39.4480000,439
2026-05-25T22:12:40.4880000,446
2026-05-25T22:12:41.5300000,441
2026-05-25T22:12:42.5700000,446
2026-05-25T22:12:43.6220000,430
2026-05-25T22:12:44.6620000,444
2026-05-25T22:12:45.7030000,453
2026-05-25T22:12:46.7440000,451
2026-05-25T22:12:47.7850000,446
2026-05-25T22:12:48.8260000,444
2026-05-25T22:12:49.8770000,429
2026-05-25T22:12:50.9180000,452
2026-05-25T22:12:51.9590000,434
2026-05-25T22:12:53.0000000,448
2026-05-25T22:12:54.0400000,442
2026-05-25T22:12:55.0810000,432
2026-05-25T22:12:56.1330000,434
2026-05-25T22:12:57.1730000,433
2026-05-25T22:12:58.2140000,452
2026-05-25T22:12:59.2550000,447
2026-05-25T22:13:00.2960000,442
2026-05-25T22:13:01.3370000,446
2026-05-25T22:13:02.3880000,455
2026-05-25T22:13:03.4290000,441
2026-05-25T22:13:04.4690000,433
2026-05-25T22:13:05.5100000,437
2026-05-25T22:13:06.5510000,442
2026-05-25T22:13:07.5950000,443
2026-05-25T22:13:08.6360000,445
2026-05-25T22:13:09.6870000,447
2026-05-25T22:13:10.7280000,443
2026-05-25T22:13:11.7690000,447
2026-05-25T22:13:12.8100000,435
2026-05-25T22:13:13.8500000,435
2026-05-25T22:13:14.8910000,444
2026-05-25T22:13:15.9430000,444
2026-05-25T22:13:16.9830000,448
2026-05-25T22:13:18.0240000,445
2026-05-25T22:13:19.0650000,435
2026-05-25T22:13:20.1060000,444
2026-05-25T22:13:21.1470000,432
2026-05-25T22:13:22.1980000,451
2026-05-25T22:13:23.2390000,440
2026-05-25T22:13:24.2800000,432
2026-05-25T22:13:25.3210000,423
2026-05-25T22:13:26.3610000,443
2026-05-25T22:13:27.4020000,448
2026-05-25T22:13:28.4530000,433
2026-05-25T22:13:29.4940000,440
2026-05-25T22:13:30.5350000,444
2026-05-25T22:13:31.5760000,435
2026-05-25T22:13:32.6170000,444
2026-05-25T22:13:33.6580000,452
2026-05-25T22:13:34.7090000,429
2026-05-25T22:13:35.7500000,437
2026-05-25T22:13:36.7900000,433
2026-05-25T22:13:37.8310000,445
2026-05-25T22:13:38.8720000,445
2026-05-25T22:13:39.9130000,438
2026-05-25T22:13:40.9640000,447
2026-05-25T22:13:42.0050000,439
2026-05-25T22:13:43.0460000,429
2026-05-25T22:13:44.0860000,439
2026-05-25T22:13:45.1270000,440
2026-05-25T22:13:46.1790000,426
2026-05-25T22:13:47.2190000,427
2026-05-25T22:13:48.2600000,445
2026-05-25T22:13:49.3010000,444
2026-05-25T22:13:50.3410000,434
