time,ens_eco2_ppm
2026-05-25T12:02:19.0880000,490
2026-05-25T12:02:20.1290000,499
2026-05-25T12:02:21.1800000,503
2026-05-25T12:02:22.2210000,485
2026-05-25T12:02:23.2620000,481
2026-05-25T12:02:24.3030000,486
2026-05-25T12:02:25.3470000,490
2026-05-25T12:02:26.3880000,487
2026-05-25T12:02:27.4290000,493
2026-05-25T12:02:28.4800000,498
2026-05-25T12:02:29.5210000,496
2026-05-25T12:02:30.5620000,491
2026-05-25T12:02:31.6030000,488
2026-05-25T12:02:32.6440000,481
2026-05-25T12:02:33.6840000,480
2026-05-25T12:02:34.7350000,499
2026-05-25T12:02:35.7760000,495
2026-05-25T12:02:36.8170000,498
2026-05-25T12:02:37.8580000,502
2026-05-25T12:02:38.8980000,481
2026-05-25T12:02:39.9430000,494
2026-05-25T12:02:40.9830000,472
2026-05-25T12:02:42.0350000,495
2026-05-25T12:02:43.0750000,497
2026-05-25T12:02:44.1160000,484
2026-05-25T12:02:45.1570000,488
2026-05-25T12:02:46.1980000,474
2026-05-25T12:02:47.2490000,489
2026-05-25T12:02:48.2900000,487
2026-05-25T12:02:49.3310000,499
2026-05-25T12:02:50.3720000,482
2026-05-25T12:02:51.4120000,474
2026-05-25T12:02:52.4530000,494
2026-05-25T12:02:53.4980000,493
2026-05-25T12:02:54.5380000,488
2026-05-25T12:02:55.5900000,497
2026-05-25T12:02:56.6300000,477
2026-05-25T12:02:57.6710000,473
2026-05-25T12:02:58.7120000,491
2026-05-25T12:02:59.7530000,497
2026-05-25T12:03:00.8040000,478
2026-05-25T12:03:01.8450000,490
2026-05-25T12:03:02.8850000,516
2026-05-25T12:03:03.9260000,494
2026-05-25T12:03:04.9670000,481
2026-05-25T12:03:06.0180000,483
2026-05-25T12:03:07.0520000,485
2026-05-25T12:03:08.1030000,495
2026-05-25T12:03:09.1440000,500
2026-05-25T12:03:10.1850000,483
2026-05-25T12:03:11.2250000,496
2026-05-25T12:03:12.2660000,488
2026-05-25T12:03:13.3070000,475
2026-05-25T12:03:14.3580000,482
2026-05-25T12:03:15.3990000,480
2026-05-25T12:03:16.4400000,495
2026-05-25T12:03:17.4810000,495
2026-05-25T12:03:18.5220000,496
2026-05-25T12:03:19.5730000,493
2026-05-25T12:03:21.6570000,491
2026-05-25T12:03:22.6980000,490
2026-05-25T12:03:23.7390000,491
2026-05-25T12:03:24.7800000,491
2026-05-25T12:03:25.8200000,492
