Time,09C00 Aranet4  Temperature (°C) [09C00],09C05 Aranet4  Temperature (°C) [09C05],09C09 Aranet4  Temperature (°C) [09C09],09C0F Aranet4  Temperature (°C) [09C0F],09C00 Aranet4  Humidity (%) [09C00],09C05 Aranet4  Humidity (%) [09C05],09C09 Aranet4  Humidity (%) [09C09],09C0F Aranet4  Humidity (%) [09C0F],09C00 Aranet4  Pressure (hPa) [09C00],09C05 Aranet4  Pressure (hPa) [09C05],09C09 Aranet4  Pressure (hPa) [09C09],09C0F Aranet4  Pressure (hPa) [09C0F],09C00 Aranet4  CO₂ (ppm) [09C00],09C05 Aranet4  CO₂ (ppm) [09C05],09C09 Aranet4  CO₂ (ppm) [09C09],09C0F Aranet4  CO₂ (ppm) [09C0F],0D697 PM  PM1 (µg/m³) [0D697],0D699 PM  PM1 (µg/m³) [0D699],0D6A0 PM  PM1 (µg/m³) [0D6A0],0D6A3 PM  PM1 (µg/m³) [0D6A3],0D697 PM  PM2.5 (µg/m³) [0D697],0D699 PM  PM2.5 (µg/m³) [0D699],0D6A0 PM  PM2.5 (µg/m³) [0D6A0],0D6A3 PM  PM2.5 (µg/m³) [0D6A3],0D697 PM  PM10 (µg/m³) [0D697],0D699 PM  PM10 (µg/m³) [0D699],0D6A0 PM  PM10 (µg/m³) [0D6A0],0D6A3 PM  PM10 (µg/m³) [0D6A3],0195C Weight  Weight (kg) [0195C],01960 Weight  Weight (kg) [01960],01966 Weight  Weight (kg) [01966],019A0 Weight  Weight (kg) [019A0]
2026-05-22 00:12:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:12:49,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:12:55,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,-0.039
2026-05-22 00:13:05,,,,21.95,,,,58.0,,,,1019,,,,451,,,,,,,,,,,,,,,,
2026-05-22 00:13:17,22.75,,,,53.0,,,,1018,,,,463,,,,,,,,,,,,,,,,,,,
2026-05-22 00:13:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:13:21,,,23.40,,,,56.0,,,,1018,,,,491,,,,,,,,,,,,,,,,,
2026-05-22 00:13:22,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:13:24,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:13:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:13:36,,22.65,,,,59.0,,,,1019,,,,458,,,,,,,,,,,,,,,,,,
2026-05-22 00:13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,
2026-05-22 00:13:51,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:13:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038
2026-05-22 00:13:56,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:14:04,,,,21.95,,,,58.0,,,,1019,,,,449,,,,,,,,,,,,,,,,
2026-05-22 00:14:16,22.75,,,,53.0,,,,1018,,,,457,,,,,,,,,,,,,,,,,,,
2026-05-22 00:14:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:14:20,,,23.40,,,,56.0,,,,1018,,,,494,,,,,,,,,,,,,,,,,
2026-05-22 00:14:26,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:14:27,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,-0.221,,,
2026-05-22 00:14:35,,22.65,,,,59.0,,,,1019,,,,466,,,,,,,,,,,,,,,,,,
2026-05-22 00:14:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:14:54,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:14:58,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:15:05,,,,21.95,,,,58.0,,,,1019,,,,439,,,,,,,,,,,,,,,,
2026-05-22 00:15:16,22.80,,,,53.0,,,,1018,,,,456,,,,,,,,,,,,,,,,,,,
2026-05-22 00:15:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:15:19,,,23.40,,,,56.0,,,,1018,,,,488,,,,,,,,,,,,,,,,,
2026-05-22 00:15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:15:29,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:15:31,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,
2026-05-22 00:15:35,,22.60,,,,59.0,,,,1019,,,,460,,,,,,,,,,,,,,,,,,
2026-05-22 00:15:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,
2026-05-22 00:15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:15:58,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
